file_id,segment_id,start,end,type,duration,changepoint_timestamp,msg,emotion,comments,summary
AUGMENT3,AUGMENT3_0001,3,56,text,54,-1,"Hey, have you heard about the new restaurant downtown?",neutral,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0002,3,44,text,42,-1,"No, I haven't. What's so special about it?",curiosity,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0003,3,55,text,53,-1,"Well, they're known for their amazing seafood dishes.",excitement,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0004,3,56,text,54,-1,"Oh, that sounds great! When are you thinking of going?",anticipation,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0005,3,61,text,59,-1,I was actually thinking of going this Friday. Are you free?,hopeful,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0006,3,54,text,52,272,"Sorry, I can't. I already made plans with my family.",apologetic,"There is a shift in the conversation's flow and outcome. The man can't go to the restaurant on Friday, which affects the plan significantly. The initial tone is excited and hopeful.",The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0007,3,51,text,49,-1,"Oh, that's too bad. Maybe we can go another time?",disappointed,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0008,3,93,text,91,377,"Sure, that sounds good. Speaking of family, though, my sister just got into a car accident.",fear,"There is a shift in the topic and energy of the conversation. The man's sister got into an accident, which changes the mood and goal of the conversation. The initial tone is casual and friendly.",The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0009,3,22,text,20,-1,"Oh, no! Is she okay?",concern,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0010,3,38,text,36,-1,"She's fine, but her car was totaled.",relieved,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0011,3,45,text,43,-1,That's a relief. Do you know what happened?,curiosity,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0012,3,45,text,43,-1,"Yeah, she said she was texting and driving.",anger,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0013,3,84,text,82,-1,"That's so dangerous! I'm glad she's okay, but she really needs to be more careful.",scolding,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0014,3,36,text,34,-1,"I know, I told her the same thing.",agreement,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0015,3,83,text,81,-1,"Well, I'm just glad she's okay. Let me know if there's anything I can do to help.",concern,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0016,3,18,text,16,-1,"Will do, thanks.",grateful,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0017,3,21,text,19,-1,"Alright, take care.",formal,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0018,3,10,text,8,-1,You too.,friendly,,The conversation is about a new restaurant and a car accident.
AUGMENT3,AUGMENT3_0019,3,6,text,4,-1,Bye.,neutral,,The conversation is about a new restaurant and a car accident.
AUGMENT2,AUGMENT2_0001,2,16,text,15,-1,"Hey, what's up?",neutral,,The conversation is about two friends talking about shopping and then the girl brings up a rumor she heard about the guy talking behind her back.
AUGMENT2,AUGMENT2_0002,2,29,text,28,-1,Just got back from shopping.,joy,,The conversation is about two friends talking about shopping and then the girl brings up a rumor she heard about the guy talking behind her back.
AUGMENT2,AUGMENT2_0003,2,28,text,27,-1,Did you find anything good?,anticipation,,The conversation is about two friends talking about shopping and then the girl brings up a rumor she heard about the guy talking behind her back.
