file_id,segment_id,start,end,type,duration,changepoint_timestamp,msg,translation,impact_scalar,emotion,comments,summary
AUGMENT1,AUGMENT1_0001,0,12,text,13,-1,今天晚上我们会去看电影吗？,Will we go to the movie tonight?,0,anticipation,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0002,15,28,text,14,-1,当然可以啊，你想看哪部电影？,"Of course, which movie do you want to watch?",0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0003,31,39,text,9,31,我想看《复联4》。,"I want to watch ""Reunion 4"".",4,joy,There is a shift in the speaker's emotion from neutral to joy as they express their desire to watch a specific movie. This positively impacts the tone of the conversation.,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0004,42,55,text,14,-1,我也想看那个！真的非常期待。,I want to see that too!I really look forward to it.,0,anticipation,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0005,58,66,text,9,58,我们现在去排队吗？,Are we going to line up now?,1,neutral,"There is a shift in the topic as the discussion moves to logistics, with the woman expressing frustration at the man's inability to join her immediately. This negatively impacts the mood of the conversation.",The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0006,69,84,text,16,-1,不行，我正在赶路，晚一点儿才到。,"No, I was rushing, and I arrived later.",0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0007,87,101,text,15,-1,你赶紧走，那我先去买点儿东西。,"If you go quickly, let me buy something first.",0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0008,104,119,text,16,-1,好的，不用等我，电影还不会开始。,"Okay, no need to wait for me, the movie will not start.",0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0009,122,132,text,11,122,嗯，我会在门口等你的。,"Well, I will wait for you at the door.",3,trust,There is a shift in the speaker's emotion from neutral to trust as they express confidence in the other person's ability to arrive on time. This creates a sense of security and trust between the two.,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0010,135,156,text,22,-1,好的，那我给你打电话，等我到了就打算进去了。,"Okay, then I would call you, and I planned to go in when I arrived.",0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0011,159,171,text,13,-1,嗯，好的，记得不要迟到哦。,"Well, okay, remember not to be late.",0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0012,174,182,text,9,-1,放心，我会尽快的。,"Rest assured, I will be as soon as possible.",0,trust,,The conversation is about two people discussing their plans to watch a movie together.
AUGMENT1,AUGMENT1_0013,185,192,text,8,-1,我在哪里等你呢？,Where am I waiting for you?,0,neutral,,The conversation is about two people discussing their plans to watch a movie together.
